S12_001,S12_033
河堀口,3192
高鷲,6672
大阪阿部野橋,162779
橿原神宮前,0
磐城,1383
浮孔,1569
今川,4391
河内天美,16841
恵我ノ荘,10801
坊城,3155
藤井寺,36447
駒ヶ谷,1793
二上山,1141
針中野,9727
橿原神宮西口,2157
矢田,9346
二上神社口,833
高田市,7696
北田辺,5046
道明寺,6345
古市,21039
近鉄日本橋,48028
大阪難波,0
大阪上本町,74928
大阪上本町,0
西日野,0
日永,0
伏屋,5364
近鉄名古屋,106751
烏森,4490
近鉄八田,3792
黄金,2475
米野,830
伊勢朝日,3996
近鉄長島,2803
近鉄富田,21527
佐古木,2758
益生,2319
近鉄蟹江,12304
川原町,1754
霞ヶ浦,3189
川越富洲原,6017
阿倉川,4389
桑名,29695
戸田,4059
富吉,5394
近鉄弥富,11762
南が丘,2948
津新町,12295
白塚,1804
近鉄四日市,45694
長太ノ浦,1295
久居,10174
千里,2568
箕田,960
高田本山,2093
海山道,1480
桃園,342
楠,1536
白子,14764
塩浜,6458
新正,1385
江戸橋,8019
伊勢若松,1999
鼓ヶ浦,1117
磯山,1513
豊津上野,1305
北楠,1705
千代崎,2327
津,33676
伊勢中川,7229
平田町,5154
鈴鹿市,3224
三日市,1227
柳,241
伊勢若松,0
多賀大社前,199
高宮,0
八日市,0
平田,295
太郎坊宮前,251
新八日市,908
武佐,314
市辺,367
近江八幡,4410
尼子,353
長谷野,148
水口松尾,104
桜川,242
河辺の森,22
朝日野,72
豊郷,258
高宮,230
彦根,2130
朝日大塚,139
彦根口,809
八日市,3538
米原,346
京セラ前,108
鳥居本,198
日野,853
愛知川,705
五箇荘,144
大学前,169
水口,648
水口石橋,108
貴生川,1345
水口城南,918
フジテック前,586
日向前田,0
小林,0
えびの上江,0
西小林,0
高原,0
広原,0
えびの,0
えびの飯野,0
鶴丸,0
京町温泉,0
吉松,0
都城,0
日向庄内,0
高崎新田,0
谷頭,0
万ヶ塚,0
東高崎,0
筑後吉井,0
日田,0
向之原,0
南由布,0
杉河内,0
天神山,0
小野屋,0
豊後国分,0
恵良,0
筑後大石,0
由布院,0
庄内,0
光岡,0
南大分,0
古国府,0
豊後中川,0
天ヶ瀬,0
豊後森,0
鬼瀬,0
引治,0
豊後中村,0
田主丸,0
豊後三芳,0
北山田,0
野矢,0
うきは,0
湯平,0
賀来,0
大分,0
大分,0
夜明,0
御井,0
南久留米,0
筑後草野,0
善導寺,0
久留米大学前,0
久留米,0
田吉,0
宮崎空港,0
出水,0
新八代,0
新水俣,0
鹿児島中央,0
川内,0
船尾,0
上三緒,0
下鴨生,0
筑前庄内,0
田川後藤寺,0
新飯塚,0
土井,0
西戸崎,0
須恵,0
和白,0
舞松原,0
香椎神宮,0
新原,0
伊賀,0
酒殿,0
長者原,0
雁ノ巣,0
